id,name,filename,kind,status,omr_status,source_type,size_bytes,git_blob_sha,download_url,source_page,kits,targets,notes
6285,Black Seas Barracuda,6285 - Black Seas Barracuda.mpd,mpd,GREEN,OMR / model header verified,github_ldraw_mirror,918791,f1dd515a1f7fb07efaf175da0ccbef8223737224,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/6285%20-%20Black%20Seas%20Barracuda.mpd,,K13_SHIP;K08_PORT;K04_TIMBER,BLACK ITHACAN SHIP;PYLOS HARBOR;SCHERIA CITY AND HARBOR;WOODEN HORSE INTERIOR,Full ship donor. Verified LDraw model header and CCAL license.
6286,Skull's Eye Schooner,6286 - Skulls Eye Schooner.mpd,mpd,GREEN,real MPD; forum reports OMR compliant / no known errors,github_ldraw_mirror,1071135,fb1e10f476677d8a6f64b01ae19bbadc50c87255,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/6286%20-%20Skulls%20Eye%20Schooner.mpd,,K13_SHIP;K08_PORT;K04_TIMBER,BLACK ITHACAN SHIP;SCHERIA CITY AND HARBOR;PYLOS HARBOR,Second large ship grammar; useful for hull/mast/rail variants.
6279,Skull Island,6279-1 - Skull Island.mpd,mpd,GREEN,LDraw Model; header verified,github_ldraw_mirror,268897,e437aa86fe90ae7dc3d3dbfc11a07e7844570e4e,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/6279-1%20-%20Skull%20Island.mpd,,K02_ROCK;K08_PORT;K12_FORTIFICATION;K07_VEGETATION,AEOLIA FLOATING ISLAND;OGYGIA CAVERN AND GROVE;TELEPYLUS HARBOR,Island mass + shore + built-edge donor.
6278,Enchanted Island,6278 6292 - Enchanted Island.mpd,mpd,GREEN,real MPD,github_ldraw_mirror,31790,5d3353f35378969ddced790d4e1f6cf265cfb786,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/6278%206292%20-%20Enchanted%20Island.mpd,,K02_ROCK;K07_VEGETATION;K03_WATER,OGYGIA CAVERN AND GROVE;AEOLIA FLOATING ISLAND;GOAT ISLAND HARBOR,Compact island/vegetation donor.
6264,Forbidden Cove,6264 - Forbidden Cove.mpd,mpd,GREEN,real MPD,github_ldraw_mirror,13980,83db63cad7a10d1f6fb6539921452df76db32537,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/6264%20-%20Forbidden%20Cove.mpd,,K02_ROCK;K03_WATER;K08_PORT;K07_VEGETATION,PHORCYS HARBOR;GOAT ISLAND HARBOR;OGYGIA SHORE,Cove topology + vegetation.
6256,Island Catamaran,6256 - Island Catamaran.mpd,mpd,GREEN,real MPD,github_ldraw_mirror,5823,2034bb27f50c820de4bd614b10cd270df2bc1c65,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/6256%20-%20Island%20Catamaran.mpd,,K13_SHIP;K03_WATER,RAFT / SMALL WATERCRAFT;SECRET ITHACAN LANDING,Small-watercraft donor.
6245,Harbor Sentry,6245 - Harbor Sentry.mpd,mpd,GREEN,real MPD,github_ldraw_mirror,306028,721a1afeb8eff4e3d2556cfa1f79754eba3b6683,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/6245%20-%20Harbor%20Sentry.mpd,,K08_PORT;K12_FORTIFICATION;K05_STONE_ARCH,TELEPYLUS HARBOR;SCHERIA CITY AND HARBOR;PYLOS HARBOR,Small fortified harbor grammar.
6235,Buried Treasure,6235 - Buried Treasure.mpd,mpd,GREEN,real MPD,github_ldraw_mirror,2448,7c5ab59c52c63289de77dbba7e77b90859f0b4c6,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/6235%20-%20Buried%20Treasure.mpd,,K09_INTERIOR;K02_ROCK,NYMPH CAVE;PALACE STOREROOM,Tiny prop/ground composition donor.
1788,Treasure Chest,1788 - Treasure Chest.mpd,mpd,GREEN,real MPD,github_ldraw_mirror,14667,294dbc8d0cdf0cd4b3cc32499a23b6711798cf8f,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/1788%20-%20Treasure%20Chest.mpd,,K09_INTERIOR,NYMPH CAVE;PALACE STOREROOM,Storage/treasure subassembly donor.
21318,Tree House,21318 - Tree House.mpd,mpd,GREEN,real MPD; header verified,github_ldraw_mirror,550185,cb3216cb814ef751d867910c61d2a54948fa7bb2,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/21318%20-%20Tree%20House.mpd,,K07_VEGETATION;K04_TIMBER;K01_GROUND,OGYGIA CAVERN AND GROVE;OGYGIA TIMBER GROVE;LAERTES'S ORCHARD;PHAEACIAN ORCHARD AND GARDEN;AEAEA COAST AND FOREST,Major tree/branch/canopy/root/timber donor.
21325,Medieval Blacksmith,21325 - Medieval Blacksmith.mpd,mpd,GREEN,LDraw Model; header verified,github_ldraw_mirror,190635,e594a5ea1ace1d13f2d61ff7f2f39861c77de01f,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/21325%20-%20Medieval%20Blacksmith.mpd,,K09_INTERIOR;K04_TIMBER;K05_STONE_ARCH;K17_LIFE,EUMAEUS HUT INTERIOR;CIRCE'S FOREST PALACE;MENELAUS'S PALACE;MARRIAGE CHAMBER;HAND MILLS AND GRAIN ROOM,Domestic/workshop/furniture/well/timber/stone donor.
6071,Forestmen's Crossing,6071 - Forestmens Crossing.mpd,mpd,GREEN,LDraw Model; header verified,github_ldraw_mirror,14708,c1ef9b85dbd9bf009853eb9fa39b39117ee4d5c,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/6071%20-%20Forestmens%20Crossing.mpd,,K07_VEGETATION;K04_TIMBER;K15_ROAD;K03_WATER,FOREST MEETING PATH;AEAEA COAST AND FOREST;ROAD FROM RIVER TO SCHERIA,Forest crossing/bridge/path donor.
6066,Camouflaged Outpost,6066 - Camouflaged Outpost.mpd,mpd,GREEN,LDraw Model; header verified,github_ldraw_mirror,16196,145c94d0fab8167cd8cb2375ecaf7b9a48eae0ac,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/6066%20-%20Camouflaged%20Outpost.mpd,,K07_VEGETATION;K12_FORTIFICATION;K04_TIMBER,AEAEA COAST AND FOREST;FOREST MEETING PATH;SECRET ITHACAN LANDING,Hidden structure inside vegetation.
7410,Jungle River,7410-1 - Jungle River.mpd,mpd,GREEN,LDraw Model; header verified,github_ldraw_mirror,501341,f13f2168fac11c6c1792a8e42469bc09ef13b12f,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/7410-1%20-%20Jungle%20River.mpd,,K03_WATER;K07_VEGETATION;K13_SHIP,RIVER WASHING POOLS;SCHERIAN COAST AND RIVER MOUTH;OGYGIA CAVERN AND GROVE,River/boat/vegetation grammar.
6080,King's Castle,6080 - Kings Castle.mpd,mpd,GREEN,LDraw Model; header verified,github_ldraw_mirror,64307,1efbc0b273c29a7da13d9e9e6cb561b0c1724d5c,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/6080%20-%20Kings%20Castle.mpd,,K12_FORTIFICATION;K05_STONE_ARCH;K06_COLUMN,ODYSSEUS'S PALACE THRESHOLD AND HALL;FIGHT THRESHOLD;TROY INTERIOR MEMORY SET;NESTOR'S PALACE AND COURTYARD,Gate/wall/tower/court donor.
9476,The Orc Forge,9476-1 - The Orc Forge.mpd,mpd,GREEN,LDraw Model; header verified,github_ldraw_mirror,47584,ebbeb292a09a6fb60cd6eb0084a18c359e210ecc,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/9476-1%20-%20The%20Orc%20Forge.mpd,,K04_TIMBER;K09_INTERIOR;K02_ROCK;K16_ATMOS,POLYPHEMUS'S CAVE;HAND MILLS AND GRAIN ROOM;CIRCE'S FOREST PALACE,Rough forge/workshop/rock/timber donor.
10228,Haunted House,10228 - HAUNTED HOUSE.mpd,mpd,GREEN,real MPD,github_ldraw_mirror,106048,5e3ec1f153bb6dd5cbda6741a4b5ee9c87782831,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/10228%20-%20HAUNTED%20HOUSE.mpd,,K09_INTERIOR;K05_STONE_ARCH;K04_TIMBER,CIMMERIAN SHORE AND UNDERWORLD PIT;CIRCE'S FOREST PALACE;PALACE DUNG HEAP AND GATE,"Decay/interior/threshold donor. Use chunks, not whole aesthetic."
10214,Tower Bridge,10214-1 - Tower Bridge.mpd,mpd,GREEN,LDraw Model; header verified,github_ldraw_mirror,97683,d5c6e80863d4af256f2fc5eaf2e5ef07473e85bc,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/10214-1%20-%20Tower%20Bridge.mpd,,K05_STONE_ARCH;K06_COLUMN;K08_PORT,SCHERIA CITY AND HARBOR;AEOLIA FLOATING ISLAND,Arch/tower/bridge/repetition donor.
21022,Lincoln Memorial,21022-1 - Lincoln Memorial.mpd,mpd,GREEN,real MPD,github_ldraw_mirror,13192,12567ced6f563b7e0dfdf120e68db6745f844d03,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/21022-1%20-%20Lincoln%20Memorial.mpd,,K06_COLUMN;K05_STONE_ARCH,NESTOR'S PALACE AND COURTYARD;ALCINOUS'S PALACE;OLYMPIAN COUNCIL HALL,Compact colonnade/monument donor.
21041,Great Wall of China,21041-1 - Great Wall of China.mpd,mpd,GREEN,real MPD,github_ldraw_mirror,29254,6253239938103b164d96d22384af41d3fee52b0e,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/21041-1%20-%20Great%20Wall%20of%20China.mpd,,K12_FORTIFICATION;K15_ROAD;K01_GROUND,TROY INTERIOR MEMORY SET;FARM-TO-PALACE ROUTE;ROAD TO HADES,Wall-on-terrain and procession/path donor.
7327,Scorpion Pyramid,7327-1 - Scorpion Pyramid.mpd,mpd,GREEN,LDraw Model; header verified,github_ldraw_mirror,63119,6946b69058e218c0d95b256543679348e842a71a,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/7327-1%20-%20Scorpion%20Pyramid.mpd,,K02_ROCK;K05_STONE_ARCH;K11_RITUAL,PUNISHMENT LANDSCAPE;CIMMERIAN SHORE AND UNDERWORLD PIT;TROY INTERIOR MEMORY SET,"Stone mass, chamber, ritual, desert geometry donor."
